GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,TRBL_BGA,BLCK_GRPA,C_CITYA,TRUSTA,RES_ONLYA,AIANHHA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GV5001,GV5002,GV5003,GV5004,GV5005,GV5006,GV5007,GV5008,GV5009,GV5010,GV5011,GV5012,GV5013,GV5014,GV5015,GV5016,GV5017,GV5018,GV5019,GV5020,GV5021,GV5022,GV5023,GV5024,GV5025,GV5026,GV5027,GV5028,GV5029,GV5030,GV5031,GV5032,GV5033,GV5034,GV5035,GV5036,GV5037,GV5038,GV5039,GV5040,GV5041,GV5042,GV5043,GV5044,GV5045,GV5046,GV5047,GV5048,GV5049,GV5050,GV5051,GV5052,GV5053,GV5054,GV5055,GV5056,GV5057,GV5058,GV5059,GV5060,GV5061,GV5062,GV5063,GV5064,GV5065,GV5066,GV5067,GV5068,GV5069,GV5070,GV5071
"G240","2000","3","5","Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,"Maryland",324,1109,916,354,20401,3793,178,1551,14088,399,3355,4227,27271,1160,7849,271,1556,3154,313,18973,8519,11652,55393,12606,476294,1097,44395,5040,95531,21882,833718,185,31149,5313,22941,549,12935,621779,3044,267573,2760,17866,256,194,333,292,3822,27131,3127,184364,8396,5951,75818,3974,68972,90298,1482,2521,12203,1629,103,98560,33026,12212,3371,20014,305558,39601,55244,2668,1712923
"G250","2000","1","1","Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",402,179,10594,566,53511,28595,572,1897,15941,383,5562,30583,27748,1140,53010,26,2019,2175,195,10310,5252,16335,43727,15124,721905,1034,29942,27703,508218,310170,377152,34,78172,909,18427,788,5764,1426453,3713,860079,4695,51054,210,221,167,365,3921,36106,815,323210,279722,6734,110033,5877,99759,162357,1051,1345,6690,941,179,80274,119267,10191,3956,22616,244572,23719,81451,4089,927118
"G260","2000","2","3","Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,"Michigan",200,232,15343,349,116331,15746,34484,2052,23605,306,53135,2488,30780,2522,46824,197,1427,19407,146,40754,21299,44267,480774,4541,988625,580,53475,101351,489240,191699,2028210,229,44214,483,98036,735,4673,1067474,1737,450952,4730,30977,885,7801,13726,123,4397,85753,6746,854844,4993,26857,71015,10481,130282,224803,8709,6719,28049,4485,62,51435,161301,24700,2261,46350,517701,50609,11135,19543,1969264
"G270","2000","2","4","Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",244,467,444,218,13923,1152,111,1066,17483,195,15627,652,11936,963,6926,120,780,8460,67,85056,16646,88924,99944,2427,309802,398,31758,99388,202728,59475,1806650,270,10619,1029,12279,3130,2500,552172,432,111270,2583,5633,5867,306,139,210,6453,850742,1783,240405,2487,5364,35513,52085,46370,62152,4296,4532,7786,10420,24,43628,486507,23140,1154,14356,142500,21677,3991,8511,513397
"G280","2000","3","6","Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",1728,19,30,50,4215,163,30,270,1407,64,479,119,7798,97,1790,2,517,614,18,1541,679,2617,18713,148,173633,9,18346,672,66080,8204,129275,26,2662,87,1843,76,588,195224,100,40401,138,537,105,18,61,20,572,7088,160,10155,1059,323,2356,843,55077,35185,93,443,507,151,0,20469,7155,1601,179,723,403518,6951,1734,1154,1050647
"G290","2000","2","4","Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,"Missouri",505,318,1281,251,12927,1545,80,1102,11135,180,5085,603,15721,804,6248,32,875,8941,31,23856,7150,18207,99948,2168,528935,170,43111,3261,195335,17574,1313951,339,12688,89,13694,331,2267,711120,612,176209,751,5571,508,320,87,215,2766,40887,2350,90448,3800,3189,25839,5023,92706,83047,1685,2017,4612,1269,10,26140,55774,21909,1191,6228,587082,34187,4658,10040,1034539
"G300","2000","4","8","Montana","30",,,,,,,,,,,,,,,,,,,,,,,,"Montana",39,8,31,30,1157,275,11,221,5235,564,2274,38,3183,245,2184,6,412,1691,10,6262,2441,15204,22796,222,114216,141,7282,7456,38200,10174,243648,75,2290,4,3250,269,83,133952,33,28031,172,1136,328,75,13,33,1083,95525,766,17774,1434,593,8398,5689,23117,27170,733,792,1144,657,0,395,30721,5179,213,1986,46131,9312,199,3316,108092
"G310","2000","2","4","Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",144,443,79,6,4696,330,21,303,3404,85,2016,177,4453,161,1498,14,299,2367,0,83462,9824,52470,38523,312,163651,35,10126,1427,44835,6560,661133,276,3161,22,2740,210,561,229506,85,42979,662,3215,987,75,38,37,808,39536,2136,62475,1226,885,11002,3228,24964,23173,765,378,896,412,0,5195,84294,8596,263,1944,76910,10374,753,1156,218959
"G320","2000","4","8","Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,"Nevada",222,385,237,45,7232,2880,239,962,5463,6096,1741,876,8487,1014,6910,23,514,2742,16,6676,2925,19400,31481,677,201447,99,15088,4056,63103,13882,282403,151,9278,127,10285,706,2587,219974,930,132515,530,3448,169,135,257,196,1311,38353,537,46973,11218,2846,20408,4694,28962,37780,1509,918,2542,700,0,11111,36105,7460,748,3982,95995,14947,2714,3593,692491
"G330","2000","1","1","New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",67,9,1116,64,6833,3050,32,330,3079,158,1622,926,6870,118,12964,6,509,498,32,2112,1289,3710,12626,859,223026,147,5608,7796,180883,127086,105906,13,15279,48,3784,149,491,240295,142,105610,539,7256,61,12,53,169,743,10301,340,51183,13095,1230,10694,1778,27985,53797,167,325,1232,125,0,2006,24911,2683,298,3457,73700,8240,1690,1354,85056
"G340","2000","1","2","New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",158,1858,7336,876,72468,17094,972,1760,45154,643,5800,20497,25256,1511,12952,457,1188,11231,847,25643,19789,22534,119315,20149,521902,2331,31363,6713,124617,29968,1063384,234,61522,14296,115615,526,7790,1335535,7939,1503637,4457,37726,441,3772,1539,357,2461,48403,6344,576473,72196,17691,189524,4742,77111,106607,2400,8627,46264,1475,135,70005,58564,19983,12396,73809,263807,40010,116475,10335,2449515
"G350","2000","4","8","New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",182,158,45,93,4296,727,24,405,3001,600,1413,316,7470,228,2783,36,968,1120,0,4482,1919,7448,21195,985,138405,108,12165,2267,36447,7347,179228,31,3736,68,4331,231,1039,132997,309,43218,226,1775,119,97,77,163,1553,18088,485,20723,2225,1019,8564,2646,27427,29243,369,808,1372,531,5,2793,16809,4445,222,1821,92940,10024,1474,1190,953802
"G360","2000","1","2","New York","36",,,,,,,,,,,,,,,,,,,,,,,,"New York",759,7760,32428,1469,121925,24460,1043,5857,93083,1252,12034,19636,53562,5937,44276,548,3427,23650,2587,44942,31878,38587,272904,58756,1140036,2892,86444,16833,477730,151080,2122620,285,159763,109104,137029,1552,22856,2451042,30164,2737146,9937,49083,844,4740,7370,1083,6166,90524,8175,986141,43839,51380,460261,9578,138844,212275,4997,8427,37863,4387,707,166508,133788,38721,23674,148700,717234,85356,685874,30519,5665050
"G370","2000","3","5","North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",908,429,728,207,19580,1488,151,1653,9121,330,3093,1454,36504,609,12833,80,1421,3023,104,9738,4923,11093,93699,2579,767749,372,70025,4994,127472,28307,762387,91,19146,979,16100,532,3000,594798,745,181982,952,6635,216,201,447,399,3346,32627,1909,87968,7294,3771,25363,5127,255825,177546,1295,1606,7299,1454,20,61798,40697,12211,1658,9607,1115401,38287,15915,3138,2268241
"G380","2000","2","4","North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",21,0,98,12,1042,177,0,108,1138,39,944,66,1098,142,1115,11,41,295,5,12541,1741,9188,9095,43,31560,30,1340,3474,25078,5377,282058,992,605,0,2802,2897,161,49346,36,5328,77,265,442,29,4,0,170,193158,394,17700,348,316,22514,5450,6674,8011,92,137,499,107,0,1051,31966,1749,110,3815,15495,1660,237,960,49994
